"Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"41026",4,0.08,-1.09691001300806
"11005",5,0.1,-1
"41009",5,0.1,-1
"41010",5,0.1,-1
"11004",6,0.12,-0.920818753952375
"12007",6,0.12,-0.920818753952375
"31009",6,0.12,-0.920818753952375
"41007",6,0.12,-0.920818753952375
"81005",6,0.12,-0.920818753952375
"11009",7,0.14,-0.853871964321762
"13007",7,0.14,-0.853871964321762
"31011",7,0.14,-0.853871964321762
"11006",8,0.16,-0.795880017344075
"31008",8,0.16,-0.795880017344075
"41028",8,0.16,-0.795880017344075
"62004",8,0.16,-0.795880017344075
"91003",8,0.16,-0.795880017344075
"11007",9,0.18,-0.744727494896694
"22004",9,0.18,-0.744727494896694
"31012",9,0.18,-0.744727494896694
"41002",9,0.18,-0.744727494896694
"51009",9,0.18,-0.744727494896694
"61001",9,0.18,-0.744727494896694
"61002",9,0.18,-0.744727494896694
"73009",9,0.18,-0.744727494896694
"81007",9,0.18,-0.744727494896694
"13008",10,0.2,-0.698970004336019
"13009",10,0.2,-0.698970004336019
"23005",10,0.2,-0.698970004336019
"23008",10,0.2,-0.698970004336019
"31010",10,0.2,-0.698970004336019
"41001",10,0.2,-0.698970004336019
"42003",10,0.2,-0.698970004336019
"11011",11,0.22,-0.657577319177794
"12006",11,0.22,-0.657577319177794
"41011",11,0.22,-0.657577319177794
"72001",11,0.22,-0.657577319177794
"81003",11,0.22,-0.657577319177794
"31014",12,0.24,-0.619788758288394
"41025",12,0.24,-0.619788758288394
"63001",12,0.24,-0.619788758288394
"91004",12,0.24,-0.619788758288394
"11010",13,0.26,-0.585026652029182
"41012",13,0.26,-0.585026652029182
"41013",13,0.26,-0.585026652029182
"62002",13,0.26,-0.585026652029182
"31007",14,0.28,-0.552841968657781
"73003",14,0.28,-0.552841968657781
"73004",14,0.28,-0.552841968657781
"12001",15,0.3,-0.522878745280338
"23003",15,0.3,-0.522878745280338
"71007",15,0.3,-0.522878745280338
"73005",15,0.3,-0.522878745280338
"71010",16,0.32,-0.494850021680094
"91002",16,0.32,-0.494850021680094
"21001",17,0.34,-0.468521082957745
"23002",17,0.34,-0.468521082957745
"12003",19,0.38,-0.42021640338319
"61005",19,0.38,-0.42021640338319
"71012",19,0.38,-0.42021640338319
"73002",19,0.38,-0.42021640338319
"91001",19,0.38,-0.42021640338319
"62001",20,0.4,-0.397940008672038
"71003",20,0.4,-0.397940008672038
"81004",20,0.4,-0.397940008672038
"31013",21,0.42,-0.3767507096021
"41005",21,0.42,-0.3767507096021
"31004",22,0.44,-0.356547323513813
"41003",23,0.46,-0.337242168318426
"13003",25,0.5,-0.301029995663981
"12002",26,0.52,-0.283996656365201
"62005",28,0.56,-0.2518119729938
"81001",29,0.58,-0.236572006437063
"23007",30,0.6,-0.221848749616356
"53001",34,0.68,-0.167491087293764
"41006",37,0.74,-0.130768280269024
"23015",39,0.78,-0.10790539730952
"22001",40,0.8,-0.0969100130080564
"31005",40,0.8,-0.0969100130080564
"12005",52,1.04,0.0170333392987804
"31003",57,1.14,0.0569048513364726
"71008",62,1.24,0.0934216851622351
"53002",68,1.36,0.133538908370218
"73001",80,1.6,0.204119982655925
"11003",88,1.76,0.24551266781415
"51001",97,1.94,0.287801729930226
"41024",145,2.9,0.462397997898956
"11008",213,4.26,0.629409599102719
"41014",257,5.14,0.710963118995276
"51004",298,5.96,0.775246259740236
