,gene_ID,gene_name
1,ENSG00000223972.5,DDX11L1
13,ENSG00000227232.5,WASH7P
26,ENSG00000278267.1,MIR6859-1
29,ENSG00000243485.5,MIR1302-2HG
37,ENSG00000284332.1,MIR1302-2
40,ENSG00000237613.2,FAM138A
48,ENSG00000268020.3,OR4G4P
51,ENSG00000240361.2,OR4G11P
58,ENSG00000186092.7,OR4F5
70,ENSG00000238009.6,RP11-34P13.7
93,ENSG00000239945.1,RP11-34P13.8
97,ENSG00000233750.3,CICP27
100,ENSG00000268903.1,RP11-34P13.15
103,ENSG00000269981.1,RP11-34P13.16
106,ENSG00000239906.1,RP11-34P13.14
110,ENSG00000241860.7,RP11-34P13.13
138,ENSG00000222623.1,RNU6-1100P
141,ENSG00000241599.1,RP11-34P13.9
145,ENSG00000279928.2,DDX11L17
152,ENSG00000279457.4,WASH9P
164,ENSG00000273874.1,MIR6859-2
167,ENSG00000228463.10,AP006222.1
192,ENSG00000286448.1,AP006222.3
196,ENSG00000236679.2,RPL23AP24
199,ENSG00000236601.2,RP4-669L17.2
209,ENSG00000237094.12,RP4-669L17.4
317,ENSG00000269732.1,WBP1LP7
320,ENSG00000284733.2,OR4F29
327,ENSG00000233653.3,CICP7
331,ENSG00000250575.1,RP4-669L17.8
335,ENSG00000278757.1,U6
338,ENSG00000230021.10,RP11-206L10.17
413,ENSG00000235146.2,RP5-857K21.2
420,ENSG00000225972.1,MTND1P23
423,ENSG00000225630.1,MTND2P28
426,ENSG00000237973.1,MTCO1P12
429,ENSG00000278791.1,ENSG00000278791
432,ENSG00000229344.1,MTCO2P12
435,ENSG00000240409.1,MTATP8P1
438,ENSG00000248527.1,MTATP6P1
441,ENSG00000198744.5,MTCO3P12
444,ENSG00000268663.1,WBP1LP6
447,ENSG00000284662.1,OR4F16
455,ENSG00000229376.3,CICP3
459,ENSG00000228327.3,RP11-206L10.2
483,ENSG00000223181.1,RNU6-1199P
486,ENSG00000229905.1,RP11-206L10.4
490,ENSG00000237491.10,LINC01409
634,ENSG00000285268.1,RP11-206L10.18
637,ENSG00000230092.7,RP11-206L10.8
648,ENSG00000177757.2,FAM87B
652,ENSG00000228794.10,LINC01128
806,ENSG00000225880.5,LINC00115
809,ENSG00000288531.1,RP11-206L10.19
817,ENSG00000230368.2,FAM41C
831,ENSG00000234711.1,TUBB8P11
834,ENSG00000283040.1,FAM166AP3
841,ENSG00000272438.1,RP11-54O7.16
