granularity,w_load_days,h_horizon_days,n_calendar_landmarks,n_drop_no_burden_or_incomplete_W,n_drop_after_exit_time,n_drop_censor_short_followup,n_kept_adjudicable,n_positive_targets,frac_kept,frac_lost_short_fu,frac_lost_no_burden,frac_lost_after_exit,n_lost_total
daily,60,90,46843,0,272,7847,38724,4186,0.8266763443844332,0.1675170249557031,0.0,0.0058066306598638,8119
weekly,60,90,6758,0,49,1113,5596,600,0.8280556377626517,0.16469369635986977,0.0,0.007250665877478544,1162
biweekly,60,90,3422,0,31,563,2828,302,0.8264172998246639,0.16452367036820573,0.0,0.009059029807130333,594
monthly_sample,60,90,1641,0,9,272,1360,145,0.8287629494210847,0.16575258988421693,0.0,0.005484460694698354,281
weekly_collapsed,60,90,7481,1336,165,1062,4918,560,0.6573987434834915,0.1419596310653656,0.17858575056810586,0.02205587488303703,2563
biweekly_collapsed,60,90,3785,509,156,509,2611,268,0.6898282694848085,0.1344782034346103,0.1344782034346103,0.041215323645970935,1174
monthly_collapsed,60,90,1808,172,147,263,1226,136,0.6780973451327433,0.1454646017699115,0.09513274336283185,0.08130530973451328,582
daily,60,120,46843,0,272,10292,36279,5432,0.7744807121661721,0.2197126571739641,0.0,0.0058066306598638,10564
weekly,60,120,6758,0,49,1478,5231,778,0.774045575614087,0.21870375850843446,0.0,0.007250665877478544,1527
biweekly,60,120,3422,0,31,742,2649,391,0.7741087083576855,0.21683226183518411,0.0,0.009059029807130333,773
monthly_sample,60,120,1641,0,9,355,1277,187,0.7781840341255332,0.21633150517976843,0.0,0.005484460694698354,364
weekly_collapsed,60,120,7481,1336,165,1362,4618,704,0.6172971527870605,0.18206122176179654,0.17858575056810586,0.02205587488303703,2863
biweekly_collapsed,60,120,3785,509,156,741,2379,383,0.6285336856010568,0.19577278731836195,0.1344782034346103,0.041215323645970935,1406
monthly_collapsed,60,120,1808,172,147,342,1147,177,0.6344026548672567,0.18915929203539822,0.09513274336283185,0.08130530973451328,661
daily,60,180,46843,0,272,14665,31906,7522,0.6811263155647589,0.3130670537753773,0.0,0.0058066306598638,14937
weekly,60,180,6758,0,49,2094,4615,1082,0.682894347440071,0.30985498668245043,0.0,0.007250665877478544,2143
biweekly,60,180,3422,0,31,1051,2340,546,0.6838106370543542,0.3071303331385155,0.0,0.009059029807130333,1082
monthly_sample,60,180,1641,0,9,507,1125,263,0.6855575868372943,0.30895795246800734,0.0,0.005484460694698354,516
weekly_collapsed,60,180,7481,1336,165,1956,4024,972,0.5378960032081272,0.26146237134072986,0.17858575056810586,0.02205587488303703,3457
biweekly_collapsed,60,180,3785,509,156,1012,2108,507,0.5569352708058124,0.2673712021136063,0.1344782034346103,0.041215323645970935,1677
monthly_collapsed,60,180,1808,172,147,481,1008,241,0.5575221238938053,0.26603982300884954,0.09513274336283185,0.08130530973451328,800
daily,90,90,46843,0,272,7847,38724,4186,0.8266763443844332,0.1675170249557031,0.0,0.0058066306598638,8119
weekly,90,90,6758,0,49,1113,5596,600,0.8280556377626517,0.16469369635986977,0.0,0.007250665877478544,1162
biweekly,90,90,3422,0,31,563,2828,302,0.8264172998246639,0.16452367036820573,0.0,0.009059029807130333,594
monthly_sample,90,90,1641,0,9,272,1360,145,0.8287629494210847,0.16575258988421693,0.0,0.005484460694698354,281
weekly_collapsed,90,90,7481,1940,149,998,4394,508,0.5873546317337255,0.13340462505012698,0.2593236198369202,0.019917123379227377,3087
biweekly_collapsed,90,90,3785,826,149,476,2334,246,0.6166446499339499,0.12575957727873183,0.21822985468956407,0.03936591809775429,1451
monthly_collapsed,90,90,1808,335,144,245,1084,125,0.5995575221238938,0.13550884955752213,0.18528761061946902,0.07964601769911504,724
daily,90,120,46843,0,272,10292,36279,5432,0.7744807121661721,0.2197126571739641,0.0,0.0058066306598638,10564
weekly,90,120,6758,0,49,1478,5231,778,0.774045575614087,0.21870375850843446,0.0,0.007250665877478544,1527
biweekly,90,120,3422,0,31,742,2649,391,0.7741087083576855,0.21683226183518411,0.0,0.009059029807130333,773
monthly_sample,90,120,1641,0,9,355,1277,187,0.7781840341255332,0.21633150517976843,0.0,0.005484460694698354,364
weekly_collapsed,90,120,7481,1940,149,1277,4115,634,0.5500601523860447,0.17069910439780778,0.2593236198369202,0.019917123379227377,3366
biweekly_collapsed,90,120,3785,826,149,692,2118,346,0.5595772787318362,0.18282694848084544,0.21822985468956407,0.03936591809775429,1667
monthly_collapsed,90,120,1808,335,144,317,1012,159,0.5597345132743363,0.17533185840707965,0.18528761061946902,0.07964601769911504,796
daily,90,180,46843,0,272,14665,31906,7522,0.6811263155647589,0.3130670537753773,0.0,0.0058066306598638,14937
weekly,90,180,6758,0,49,2094,4615,1082,0.682894347440071,0.30985498668245043,0.0,0.007250665877478544,2143
biweekly,90,180,3422,0,31,1051,2340,546,0.6838106370543542,0.3071303331385155,0.0,0.009059029807130333,1082
monthly_sample,90,180,1641,0,9,507,1125,263,0.6855575868372943,0.30895795246800734,0.0,0.005484460694698354,516
weekly_collapsed,90,180,7481,1940,149,1822,3570,869,0.4772089292875284,0.24355032749632402,0.2593236198369202,0.019917123379227377,3911
biweekly_collapsed,90,180,3785,826,149,937,1873,453,0.4948480845442536,0.24755614266842801,0.21822985468956407,0.03936591809775429,1912
monthly_collapsed,90,180,1808,335,144,442,887,213,0.4905973451327434,0.24446902654867256,0.18528761061946902,0.07964601769911504,921
daily,120,90,46843,0,272,7847,38724,4186,0.8266763443844332,0.1675170249557031,0.0,0.0058066306598638,8119
weekly,120,90,6758,0,49,1113,5596,600,0.8280556377626517,0.16469369635986977,0.0,0.007250665877478544,1162
biweekly,120,90,3422,0,31,563,2828,302,0.8264172998246639,0.16452367036820573,0.0,0.009059029807130333,594
monthly_sample,120,90,1641,0,9,272,1360,145,0.8287629494210847,0.16575258988421693,0.0,0.005484460694698354,281
weekly_collapsed,120,90,7481,2480,140,936,3925,462,0.524662478278305,0.1251169629728646,0.3315064830904959,0.018714075658334446,3556
biweekly_collapsed,120,90,3785,1248,131,434,1972,214,0.521003963011889,0.11466314398943196,0.3297225891677675,0.034610303830911494,1813
monthly_collapsed,120,90,1808,489,130,228,961,114,0.5315265486725663,0.1261061946902655,0.2704646017699115,0.07190265486725664,847
daily,120,120,46843,0,272,10292,36279,5432,0.7744807121661721,0.2197126571739641,0.0,0.0058066306598638,10564
weekly,120,120,6758,0,49,1478,5231,778,0.774045575614087,0.21870375850843446,0.0,0.007250665877478544,1527
biweekly,120,120,3422,0,31,742,2649,391,0.7741087083576855,0.21683226183518411,0.0,0.009059029807130333,773
monthly_sample,120,120,1641,0,9,355,1277,187,0.7781840341255332,0.21633150517976843,0.0,0.005484460694698354,364
weekly_collapsed,120,120,7481,2480,140,1183,3678,573,0.4916455019382435,0.15813393931292608,0.3315064830904959,0.018714075658334446,3803
