granularity,w_load_days,h_horizon_days,w_months_equiv,h_months_equiv,n_decision_points,n_positive_targets,roc_auc,youden_threshold,youden_threshold_mean_equiv,score_scale,threshold_rule,notes,sensitivity,specificity,PPV,NPV
daily,60,90,2.0,3.0,38724,4186,0.6620419120818806,0.4362911914785702,0.4362911914785702,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7656473960821787,0.5056170015634953,0.1580374753451676,0.9468119713728042
weekly,60,90,2.0,3.0,5596,600,0.6626074192687483,0.4508746408298612,0.4508746408298612,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7566666666666667,0.5182145716573259,0.1586857742048235,0.946617915904936
biweekly,60,90,2.0,3.0,2828,302,0.6622739404235684,0.4344812144835789,0.4344812144835789,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7748344370860927,0.505938242280285,0.1578947368421052,0.949479940564636
monthly_sample,60,90,2.0,3.0,1360,145,0.6570341989499077,0.4144073635339736,0.4144073635339736,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8068965517241379,0.4831275720164609,0.1570469798657718,0.9544715447154472
weekly_collapsed,60,90,2.0,3.0,4918,560,0.6730856225004918,0.4338465631008148,0.4338465631008148,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7946428571428571,0.4960991280403855,0.1684967815221507,0.9494949494949496
biweekly_collapsed,60,90,2.0,3.0,2611,268,0.6590065039718183,0.4087556647136807,0.4087556647136807,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7947761194029851,0.4750320102432778,0.1476091476091476,0.9529109589041096
monthly_collapsed,60,90,2.0,3.0,1226,136,0.6679641122504048,0.9268385614268472,0.4634192807134236,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.463419,0.7573529411764706,0.5385321100917431,0.1699669966996699,0.9467741935483872
daily,60,120,2.0,4.0,36279,5432,0.67467699088088,0.4832191924254099,0.4832191924254099,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7231222385861561,0.558012124355691,0.2236647306684887,0.9196452422931024
weekly,60,120,2.0,4.0,5231,778,0.6750063646760194,0.4908732737104098,0.4908732737104098,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7210796915167095,0.5629912418594206,0.2237734343837255,0.9203377386196768
biweekly,60,120,2.0,4.0,2649,391,0.6728630682835001,0.5053910121321677,0.5053910121321677,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7135549872122762,0.5748449955713021,0.2251815980629539,0.9205673758865248
monthly_sample,60,120,2.0,4.0,1277,187,0.6691164205465339,0.3863642975687981,0.3863642975687981,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8181818181818182,0.4697247706422018,0.2093023255813953,0.9377289377289376
weekly_collapsed,60,120,2.0,4.0,4618,704,0.6883053113531845,0.4338465631008148,0.4338465631008148,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7997159090909091,0.510986203372509,0.2272910779168349,0.9341429238673518
biweekly_collapsed,60,120,2.0,4.0,2379,383,0.6782010496188198,0.4141919715330004,0.4141919715330004,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8015665796344648,0.5025050100200401,0.2361538461538461,0.9295644114921224
monthly_collapsed,60,120,2.0,4.0,1147,177,0.6810530607490243,0.9268385614268472,0.4634192807134236,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.463419,0.7570621468926554,0.5494845360824743,0.2346760070052539,0.9253472222222222
daily,60,180,2.0,6.0,31906,7522,0.7060419303289529,0.5131777420639991,0.5131777420639991,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7091199149162457,0.6200787401574803,0.3653925195232224,0.8735844696094291
weekly,60,180,2.0,6.0,4615,1082,0.7065113037727725,0.5089694982351258,0.5089694982351258,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7162661737523105,0.6164732521936032,0.3638497652582159,0.8764587525150905
biweekly,60,180,2.0,6.0,2340,546,0.7054814379229095,0.5053910121321677,0.5053910121321677,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7234432234432234,0.6137123745819398,0.3630514705882353,0.8793929712460063
monthly_sample,60,180,2.0,6.0,1125,263,0.7052570289273332,0.5061860266141593,0.5061860266141593,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7186311787072244,0.6125290023201856,0.361376673040153,0.8770764119601329
weekly_collapsed,60,180,2.0,6.0,4024,972,0.7172406679287414,0.4761205878522661,0.4761205878522661,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7479423868312757,0.6009174311926605,0.3737789203084833,0.8821548821548821
biweekly_collapsed,60,180,2.0,6.0,2108,507,0.7043317354661227,0.5313536338508129,0.5313536338508129,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6903353057199211,0.6452217364147408,0.3812636165577342,0.8680672268907563
monthly_collapsed,60,180,2.0,6.0,1008,241,0.7131681877444589,0.9268385614268472,0.4634192807134236,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.463419,0.7593360995850622,0.5919165580182529,0.3689516129032258,0.88671875
daily,90,90,3.0,3.0,38724,4186,0.6716121059538014,0.3959693335824542,0.3959693335824542,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8141423793597706,0.4634026289883606,0.1553256460507725,0.9536435678960852
weekly,90,90,3.0,3.0,5596,600,0.6719065252201761,0.3943070787522528,0.3943070787522528,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.82,0.4617694155324259,0.1546683432882741,0.95527950310559
biweekly,90,90,3.0,3.0,2828,302,0.6708601406301615,0.3959693335824542,0.3959693335824542,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8245033112582781,0.4619952494061757,0.1548507462686567,0.9565573770491804
monthly_sample,90,90,3.0,3.0,1360,145,0.6684092521640415,0.3961881497047014,0.3961881497047014,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8344827586206897,0.4650205761316872,0.1569390402075227,0.9592529711375212
weekly_collapsed,90,90,3.0,3.0,4394,508,0.6968068292801537,0.4916846041495983,0.4916846041495983,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7578740157480315,0.5751415337107566,0.1890962671905697,0.9478371501272264
biweekly_collapsed,90,90,3.0,3.0,2334,246,0.6796191165934647,0.4354666055490573,0.4354666055490573,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7845528455284553,0.5114942528735632,0.1591096455070074,0.9527207850133808
monthly_collapsed,90,90,3.0,3.0,1084,125,0.6883086548488008,1.2845793417654907,0.42819311392183024,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.428193,0.808,0.5172054223149114,0.1790780141843971,0.953846153846154
daily,90,120,3.0,4.0,36279,5432,0.6859662502178909,0.5688153982162476,0.5688153982162476,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6439617083946981,0.6467403637306707,0.2430010420284821,0.911624931456772
weekly,90,120,3.0,4.0,5231,778,0.6860788804174073,0.5689664358273149,0.5689664358273149,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6478149100257069,0.6465304289243207,0.2425409047160731,0.9130986362194736
biweekly,90,120,3.0,4.0,2649,391,0.6833401670445974,0.5385135958592097,0.5385135958592097,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6777493606138107,0.6142604074402126,0.2332746478873239,0.9167217448777264
monthly_sample,90,120,3.0,4.0,1277,187,0.6814158857871757,0.3903514103543374,0.3903514103543374,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8288770053475936,0.4761467889908257,0.2134986225895316,0.941923774954628
weekly_collapsed,90,120,3.0,4.0,4115,634,0.7073930856737385,0.4916846041495983,0.4916846041495983,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.750788643533123,0.5912094225797184,0.2506582411795682,0.9287003610108304
biweekly_collapsed,90,120,3.0,4.0,2118,346,0.6972184527459909,0.5123277542491754,0.5123277542491754,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7138728323699421,0.6032731376975169,0.26,0.9152397260273972
monthly_collapsed,90,120,3.0,4.0,1015,159,0.7042114853347439,1.6107623935677098,0.5369207978559033,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.536921,0.7044025157232704,0.6261682242990654,0.2592592592592592,0.9193825042881648
daily,90,180,3.0,6.0,31906,7522,0.7125232192916525,0.5484821319580078,0.5484821319580078,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6734910927944695,0.6651902887139107,0.3829176114890401,0.8684943242664382
weekly,90,180,3.0,6.0,4615,1082,0.7128390203170215,0.5676344570186403,0.5676344570186403,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6589648798521257,0.6815737333710727,0.3879216539717083,0.8671227943824271
biweekly,90,180,3.0,6.0,2340,546,0.7116987434713187,0.5530341929652625,0.5530341929652625,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6776556776556777,0.6661092530657748,0.3818369453044375,0.8716265499635303
monthly_sample,90,180,3.0,6.0,1125,263,0.7124513687330728,0.5498070062183943,0.5498070062183943,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6844106463878327,0.6624129930394431,0.3821656050955414,0.8730886850152905
weekly_collapsed,90,180,3.0,6.0,3570,869,0.7315084682866891,0.4900123144571597,0.4900123144571597,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7422324510932106,0.6327286190299889,0.3940134392180818,0.884117951370926
biweekly_collapsed,90,180,3.0,6.0,1873,453,0.721408139787955,0.5123277542491754,0.5123277542491754,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.7130242825607064,0.6429577464788733,0.3891566265060241,0.87535953978907
monthly_collapsed,90,180,3.0,6.0,887,213,0.7309385491982557,1.6107623935677098,0.5369207978559033,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.536921,0.704225352112676,0.6646884272997032,0.3989361702127659,0.8767123287671232
daily,120,90,4.0,3.0,38724,4186,0.6814858251643696,0.3944242280597488,0.3944242280597488,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8339703774486383,0.4671376454919219,0.159442795158712,0.9587022401806404
weekly,120,90,4.0,3.0,5596,600,0.6816589938617561,0.3945577198808843,0.3945577198808843,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8383333333333334,0.4671737389911929,0.1589257503949447,0.9600987248046072
biweekly,120,90,4.0,3.0,2828,302,0.6803941000351312,0.3927926601842045,0.3927926601842045,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8410596026490066,0.4651623119556611,0.1582554517133956,0.9607522485690924
monthly_sample,120,90,4.0,3.0,1360,145,0.6791883070810274,0.3887726873625069,0.3887726873625069,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8482758620689655,0.4609053497942387,0.1580976863753213,0.9621993127147768
weekly_collapsed,120,90,4.0,3.0,3925,462,0.7088053923167986,0.4055592877899899,0.4055592877899899,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.854978354978355,0.4888824718452209,0.1824480369515011,0.9619318181818182
biweekly_collapsed,120,90,4.0,3.0,1972,214,0.7006820622415022,0.4303843946092658,0.4303843946092658,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8037383177570093,0.5164960182025028,0.1682974559686888,0.9557894736842104
monthly_collapsed,120,90,4.0,3.0,961,114,0.7028728846910665,1.5741649698466036,0.3935412424616509,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.393541,0.8596491228070176,0.4852420306965762,0.1835205992509363,0.9625292740046838
daily,120,120,4.0,4.0,36279,5432,0.6940964671568017,0.3945577198808843,0.3945577198808843,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8203240058910162,0.4826725451421532,0.2182815714705594,0.9384809328711
weekly,120,120,4.0,4.0,5231,778,0.6940253443996912,0.3945577198808843,0.3945577198808843,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8239074550128535,0.4819222995733213,0.2174355495251017,0.9399912395970216
biweekly,120,120,4.0,4.0,2649,391,0.6910309238649055,0.3927926601842045,0.3927926601842045,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8235294117647058,0.4782993799822852,0.2146666666666666,0.9399477806788512
monthly_sample,120,120,4.0,4.0,1277,187,0.6909483393023598,0.3887726873625069,0.3887726873625069,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.839572192513369,0.4761467889908257,0.2156593406593406,0.9453551912568308
weekly_collapsed,120,120,4.0,4.0,3678,573,0.7190389873901522,0.38698810338974,0.38698810338974,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.8691099476439791,0.4821256038647343,0.2364672364672364,0.9522900763358778
biweekly_collapsed,120,120,4.0,4.0,1789,296,0.7170806104161764,0.5933437504702144,0.5933437504702144,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6418918918918919,0.696584058941728,0.2954898911353033,0.9075043630017452
monthly_collapsed,120,120,4.0,4.0,897,143,0.7165699022462948,1.5741649698466036,0.3935412424616509,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.393541,0.8531468531468531,0.5039787798408488,0.2459677419354838,0.9476309226932668
daily,120,180,4.0,6.0,31906,7522,0.7160722494200739,0.5573132149875164,0.5573132149875164,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6616591332092528,0.676755249343832,0.3870440936309199,0.8663831574526172
weekly,120,180,4.0,6.0,4615,1082,0.7160380630893404,0.5645237719019254,0.5645237719019254,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6598890942698706,0.6807245966600622,0.3876221498371335,0.867291741795889
biweekly,120,180,4.0,6.0,2340,546,0.7147941244931212,0.547826971967394,0.547826971967394,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6758241758241759,0.6672240802675585,0.3819875776397515,0.87117903930131
monthly_sample,120,180,4.0,6.0,1125,263,0.7159537021516855,0.5498070062183943,0.5498070062183943,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6806083650190115,0.665893271461717,0.3832976445396145,0.8723404255319149
weekly_collapsed,120,180,4.0,6.0,3155,787,0.7395606176379683,0.5487409387441242,0.5487409387441242,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6658195679796697,0.7052364864864865,0.4288052373158756,0.8639420589756854
biweekly_collapsed,120,180,4.0,6.0,1557,390,0.736354448179641,0.5933437504702144,0.5933437504702144,MEAN of pUF over lookback W,Youden optimal on this configuration,Reported θ is already MEAN-scale,0.6384615384615384,0.739502999143102,0.4502712477396021,0.8595617529880478
monthly_collapsed,120,180,4.0,6.0,780,192,0.7383609693877552,2.1953604216687364,0.5488401054171841,SUM of monthly pUF over W months,Youden optimal on this configuration,Reported θ is SUM-scale; mean-equiv = θ/W_months = 0.548840,0.6822916666666666,0.6972789115646258,0.4239482200647249,0.8704883227176221
