granularity,w_load_days,h_horizon_days,w_months_equiv,h_months_equiv,n_decision_points,n_positive_targets,roc_auc,youden_threshold,sensitivity,specificity,PPV,NPV,TP,FN,FP,TN
daily,60,90,2.0,3.0,38724,4186,0.6620419120818806,0.43629119147857026,0.7656473960821787,0.5056170015634953,0.15803747534516766,0.9468119713728042,3205,981,17075,17463
weekly,60,90,2.0,3.0,5596,600,0.6626074192687483,0.4508746408298612,0.7566666666666667,0.5182145716573259,0.1586857742048235,0.946617915904936,454,146,2407,2589
biweekly,60,90,2.0,3.0,2828,302,0.6622739404235684,0.43448121448357896,0.7748344370860927,0.505938242280285,0.15789473684210525,0.9494799405646359,234,68,1248,1278
monthly_sample,60,90,2.0,3.0,1360,145,0.6570341989499077,0.4144073635339736,0.8068965517241379,0.4831275720164609,0.15704697986577182,0.9544715447154472,117,28,628,587
weekly_collapsed,60,90,2.0,3.0,4918,560,0.6730856225004918,0.4338465631008148,0.7946428571428571,0.4960991280403855,0.1684967815221507,0.9494949494949495,445,115,2196,2162
biweekly_collapsed,60,90,2.0,3.0,2611,268,0.6590065039718183,0.40875566471368074,0.7947761194029851,0.47503201024327785,0.14760914760914762,0.9529109589041096,213,55,1230,1113
monthly_collapsed,60,90,2.0,3.0,1229,136,0.6749771271729186,0.9268385614268472,0.7647058823529411,0.5388838060384263,0.17105263157894737,0.9484702093397746,104,32,504,589
daily,60,120,2.0,4.0,36279,5432,0.67467699088088,0.48321919242540995,0.7231222385861561,0.558012124355691,0.22366473066848877,0.9196452422931025,3928,1504,13634,17213
weekly,60,120,2.0,4.0,5231,778,0.6750063646760194,0.4908732737104098,0.7210796915167095,0.5629912418594206,0.22377343438372557,0.9203377386196769,561,217,1946,2507
biweekly,60,120,2.0,4.0,2649,391,0.6728630682835001,0.5053910121321677,0.7135549872122762,0.5748449955713021,0.22518159806295399,0.9205673758865248,279,112,960,1298
monthly_sample,60,120,2.0,4.0,1277,187,0.6691164205465339,0.3863642975687981,0.8181818181818182,0.46972477064220186,0.20930232558139536,0.9377289377289377,153,34,578,512
weekly_collapsed,60,120,2.0,4.0,4618,704,0.6883053113531845,0.4338465631008148,0.7997159090909091,0.510986203372509,0.2272910779168349,0.9341429238673518,563,141,1914,2000
biweekly_collapsed,60,120,2.0,4.0,2379,383,0.6782010496188198,0.4141919715330004,0.8015665796344648,0.5025050100200401,0.23615384615384616,0.9295644114921223,307,76,993,1003
monthly_collapsed,60,120,2.0,4.0,1150,177,0.6834416244244313,0.9268385614268472,0.7570621468926554,0.5488180883864338,0.2338568935427574,0.925476603119584,134,43,439,534
