Variable,Period,Group,N,Mean,Median [Q1–Q3],Min,Max,Variance,p-value
sleep_start,First 15 days,E.PD,299,12790.211,-5520.000 [-9480.000–-2058.000],-33960.0,5443200.0,99326478686.469,9.71e-01
sleep_start,First 15 days,no-E.PD,1164,-2958.541,-5640.000 [-9420.000–-1980.000],-49800.0,1728000.0,2818987675.213,9.71e-01
sleep_start,Previous 15 days,E.PD,259,-6405.421,-6600.000 [-9708.000–-2747.000],-23280.0,9371.0,30593214.5,2.89e-03
sleep_start,Previous 15 days,no-E.PD,1309,-4995.373,-5580.000 [-8700.000–-1800.000],-32100.0,259200.0,87069303.658,2.89e-03
location_distance,First 15 days,E.PD,245,12898.56,1979.175 [90.974–10413.385],0.423,161166.266,752328108.046,1.88e-01
location_distance,First 15 days,no-E.PD,872,16891.015,2803.464 [110.031–13348.406],0.041,769255.079,2074296187.44,1.88e-01
location_distance,Previous 15 days,E.PD,224,34177.658,8902.024 [248.973–38523.777],0.082,482824.399,4104232823.131,5.03e-05
location_distance,Previous 15 days,no-E.PD,932,26081.893,2294.564 [90.839–15677.204],0.312,1712712.035,8687634244.312,5.03e-05
location_time_home,First 15 days,E.PD,176,998.523,1140.000 [780.000–1320.000],0.0,1440.0,179659.519,8.07e-01
location_time_home,First 15 days,no-E.PD,503,1000.318,1140.000 [780.000–1320.000],0.0,1440.0,164663.245,8.07e-01
location_time_home,Previous 15 days,E.PD,195,829.692,990.000 [375.000–1260.000],0.0,1440.0,262558.668,7.94e-02
location_time_home,Previous 15 days,no-E.PD,722,910.346,1080.000 [630.000–1290.000],0.0,1440.0,222709.589,7.94e-02
sleep_duration,First 15 days,E.PD,299,28085.415,29220.000 [24030.000–32490.000],560.0,54000.0,51428683.059,2.64e-02
sleep_duration,First 15 days,no-E.PD,1165,29564.848,29580.000 [24900.000–34080.000],1439.0,84240.0,66739993.703,2.64e-02
sleep_duration,Previous 15 days,E.PD,259,28507.386,28620.000 [24600.000–33210.000],6000.0,53400.0,67328765.083,8.64e-03
sleep_duration,Previous 15 days,no-E.PD,1311,29864.439,30060.000 [25440.000–34320.000],2760.0,62880.0,56709617.834,8.64e-03
activity_walking,First 15 days,E.PD,273,2682.846,2100.000 [831.000–3938.000],0.0,11698.0,5386985.616,9.86e-01
activity_walking,First 15 days,no-E.PD,1064,2848.333,2156.500 [779.000–4013.250],0.0,16437.0,7320793.754,9.86e-01
activity_walking,Previous 15 days,E.PD,220,1951.686,1269.500 [392.500–2629.250],0.0,14655.0,5508850.6,4.58e-08
activity_walking,Previous 15 days,no-E.PD,1157,3013.054,2163.000 [705.000–4270.000],0.0,22467.0,9118843.682,4.58e-08
app_usage_total,First 15 days,E.PD,306,10197.673,6447.500 [1207.000–15083.500],0.0,49557.0,123896934.437,7.37e-02
app_usage_total,First 15 days,no-E.PD,1160,10548.624,7824.500 [3236.500–15274.750],0.0,59324.0,105026216.639,7.37e-02
app_usage_total,Previous 15 days,E.PD,281,10412.883,4383.000 [80.000–18568.000],0.0,48851.0,136973125.097,3.40e-02
app_usage_total,Previous 15 days,no-E.PD,1291,10651.139,7982.000 [3425.500–14143.000],0.0,73611.0,119064542.45,3.40e-02
location_clusters_count,First 15 days,E.PD,184,1.668,1.000 [1.000–2.000],0.0,7.0,1.338,2.81e-01
location_clusters_count,First 15 days,no-E.PD,505,1.687,1.000 [1.000–2.000],0.0,10.0,1.215,2.81e-01
location_clusters_count,Previous 15 days,E.PD,201,2.313,2.000 [1.000–3.000],0.0,8.0,2.566,1.82e-01
location_clusters_count,Previous 15 days,no-E.PD,730,2.238,2.000 [1.000–3.000],0.0,11.0,3.222,1.82e-01
steps_steps_total,First 15 days,E.PD,350,7721.54,5874.000 [3302.500–10535.250],29.0,32452.0,43099322.18,3.25e-01
steps_steps_total,First 15 days,no-E.PD,1353,7781.48,5643.000 [2809.000–10663.000],7.0,53204.0,54522864.214,3.25e-01
steps_steps_total,Previous 15 days,E.PD,276,6338.812,4570.500 [1765.000–8709.750],2.0,32701.0,42731376.226,4.34e-08
steps_steps_total,Previous 15 days,no-E.PD,1446,8220.883,6577.500 [3288.500–11713.500],7.0,42437.0,44359080.867,4.34e-08
practiced_sport,First 15 days,E.PD,381,0.538,1.000 [0.000–1.000],0.0,1.0,0.249,8.99e-01
practiced_sport,First 15 days,no-E.PD,1467,0.534,1.000 [0.000–1.000],0.0,1.0,0.249,8.99e-01
practiced_sport,Previous 15 days,E.PD,316,0.408,0.000 [0.000–1.000],0.0,1.0,0.242,6.23e-04
practiced_sport,Previous 15 days,no-E.PD,1662,0.513,1.000 [0.000–1.000],0.0,1.0,0.25,6.23e-04
heart_rate_hr_mean,First 15 days,E.PD,327,82.428,83.928 [77.991–89.948],-1.0,127.9,181.538,1.65e-23
heart_rate_hr_mean,First 15 days,no-E.PD,1163,76.248,75.471 [70.204–83.484],-1.0,110.683,167.619,1.65e-23
heart_rate_hr_mean,Previous 15 days,E.PD,230,82.915,83.911 [75.665–89.778],-1.0,121.976,245.327,4.41e-16
heart_rate_hr_mean,Previous 15 days,no-E.PD,1280,74.736,76.068 [68.428–83.566],-1.0,118.425,302.144,4.41e-16
heart_rate_hr_baseline,First 15 days,E.PD,314,85.838,86.275 [79.697–93.505],56.745,124.648,122.16,1.21e-23
heart_rate_hr_baseline,First 15 days,no-E.PD,1070,78.633,77.759 [71.056–86.174],46.482,113.884,123.095,1.21e-23
heart_rate_hr_baseline,Previous 15 days,E.PD,216,86.358,85.932 [78.796–92.387],45.883,128.389,159.969,7.16e-15
heart_rate_hr_baseline,Previous 15 days,no-E.PD,1165,79.569,78.920 [71.354–86.394],50.075,127.068,137.217,7.16e-15
heart_rate_hr_min,First 15 days,E.PD,327,61.951,63.000 [56.000–68.000],-1.0,87.0,136.562,8.06e-11
heart_rate_hr_min,First 15 days,no-E.PD,1163,58.343,58.000 [52.000–65.000],-1.0,92.0,131.716,8.06e-11
heart_rate_hr_min,Previous 15 days,E.PD,230,62.23,63.000 [56.000–69.000],-1.0,100.0,186.309,2.51e-11
heart_rate_hr_min,Previous 15 days,no-E.PD,1280,56.47,57.000 [51.000–64.000],-1.0,89.0,203.919,2.51e-11
heart_rate_hr_max,First 15 days,E.PD,327,123.927,125.000 [115.000–136.000],-1.0,206.0,446.357,1.28e-12
heart_rate_hr_max,First 15 days,no-E.PD,1163,117.481,118.000 [110.000–126.000],-1.0,200.0,313.453,1.28e-12
heart_rate_hr_max,Previous 15 days,E.PD,230,122.835,123.500 [115.000–129.750],-1.0,164.0,402.898,1.44e-07
heart_rate_hr_max,Previous 15 days,no-E.PD,1280,115.501,118.000 [109.750–127.000],-1.0,216.0,645.615,1.44e-07
heart_rate_sleep_min,First 15 days,E.PD,272,71.724,71.000 [64.000–79.000],47.0,102.0,114.282,7.40e-18
heart_rate_sleep_min,First 15 days,no-E.PD,912,65.062,63.000 [57.000–73.000],38.0,110.0,143.13,7.40e-18
heart_rate_sleep_min,Previous 15 days,E.PD,195,73.092,71.000 [63.500–82.000],43.0,114.0,225.692,5.25e-13
heart_rate_sleep_min,Previous 15 days,no-E.PD,1027,65.147,64.000 [57.000–72.000],39.0,102.0,134.358,5.25e-13
heart_rate_sleep_max,First 15 days,E.PD,272,103.934,104.000 [92.000–116.000],49.0,178.0,300.49,6.73e-11
heart_rate_sleep_max,First 15 days,no-E.PD,912,96.163,96.000 [86.000–107.000],47.0,140.0,254.925,6.73e-11
heart_rate_sleep_max,Previous 15 days,E.PD,195,107.344,107.000 [93.500–121.000],63.0,159.0,355.082,4.34e-15
heart_rate_sleep_max,Previous 15 days,no-E.PD,1027,95.78,95.000 [85.000–107.000],49.0,160.0,278.476,4.34e-15
heart_rate_sleep_mean,First 15 days,E.PD,272,80.749,80.696 [73.170–88.130],48.878,115.905,124.368,1.73e-17
heart_rate_sleep_mean,First 15 days,no-E.PD,912,73.608,71.926 [65.024–81.936],44.188,119.645,155.027,1.73e-17
heart_rate_sleep_mean,Previous 15 days,E.PD,195,83.719,81.419 [73.798–92.310],50.725,129.413,223.597,4.15e-20
heart_rate_sleep_mean,Previous 15 days,no-E.PD,1027,73.279,71.208 [64.072–81.294],43.056,112.233,146.217,4.15e-20
oxygen_saturation_max_spo2,First 15 days,E.PD,223,96.942,98.000 [95.000–100.000],87.0,100.0,9.406,5.97e-01
oxygen_saturation_max_spo2,First 15 days,no-E.PD,756,97.165,98.000 [95.000–100.000],86.0,100.0,7.561,5.97e-01
oxygen_saturation_max_spo2,Previous 15 days,E.PD,172,98.087,99.000 [97.000–100.000],91.0,100.0,6.033,6.08e-04
oxygen_saturation_max_spo2,Previous 15 days,no-E.PD,907,97.348,98.000 [95.000–100.000],86.0,100.0,7.402,6.08e-04
oxygen_saturation_min_spo2,First 15 days,E.PD,223,82.112,83.000 [80.000–85.000],70.0,92.0,19.316,5.40e-01
oxygen_saturation_min_spo2,First 15 days,no-E.PD,757,81.909,82.000 [80.000–84.000],70.0,98.0,18.591,5.40e-01
oxygen_saturation_min_spo2,Previous 15 days,E.PD,172,82.291,83.000 [80.000–85.000],70.0,94.0,21.155,1.68e-02
oxygen_saturation_min_spo2,Previous 15 days,no-E.PD,920,81.547,82.000 [79.000–84.000],70.0,93.0,15.721,1.68e-02
oxygen_saturation_mean_spo2,First 15 days,E.PD,223,90.328,90.530 [88.340–92.510],81.84,96.89,8.169,3.98e-02
oxygen_saturation_mean_spo2,First 15 days,no-E.PD,757,89.946,89.960 [88.250–91.780],79.15,98.34,6.378,3.98e-02
oxygen_saturation_mean_spo2,Previous 15 days,E.PD,172,90.91,90.860 [88.980–93.163],82.44,98.31,8.055,6.55e-07
oxygen_saturation_mean_spo2,Previous 15 days,no-E.PD,920,89.772,89.925 [88.250–91.230],82.26,96.77,5.113,6.55e-07
total_unlocks,First 15 days,E.PD,206,32.51,29.000 [21.000–41.750],4.0,86.0,249.549,2.87e-01
total_unlocks,First 15 days,no-E.PD,843,32.739,29.000 [18.000–43.000],0.0,115.0,417.946,2.87e-01
